scenario_id,attacker,defender,att_avg_threat,att_avg_tech_gen,att_modern_pct,att_avg_stealth,att_avg_ew,att_fighter_count,att_sam_count,att_uav_count,att_military_budget,att_aircraft_count,att_zone,dfn_avg_threat,dfn_avg_tech_gen,dfn_modern_pct,dfn_avg_stealth,dfn_avg_ew,dfn_fighter_count,dfn_sam_count,dfn_uav_count,dfn_military_budget,dfn_aircraft_count,dfn_zone,threat_ratio,tech_ratio,number_ratio,budget_ratio,outcome,attacker_win_probability
SCN_0019,Turkey,Israel,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,0.825,0.895,0.859,0.787,Stalemate,0.58
SCN_0020,Turkey,Russia,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,0.806,0.895,0.177,0.215,Stalemate,0.56
SCN_0021,United Kingdom,North Korea,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,1.297,1.217,0.27,17.0,Attacker_Wins,0.92
SCN_0022,China,United Kingdom,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.899,0.913,10.336,3.294,Attacker_Wins,0.69
SCN_0023,Russia,United Kingdom,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.127,1.084,7.711,1.265,Attacker_Wins,0.67
SCN_0024,China,Turkey,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,0.99,0.941,7.589,12.108,Attacker_Wins,0.95
SCN_0025,Turkey,France,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,0.903,0.97,0.815,0.314,Stalemate,0.43
SCN_0026,Saudi Arabia,Pakistan,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,1.223,1.084,0.551,7.212,Attacker_Wins,0.71
SCN_0027,Australia,India,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,1.186,1.061,0.168,0.393,Stalemate,0.6
SCN_0028,USA,India,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,1.255,1.066,3.31,10.885,Attacker_Wins,0.79
SCN_0029,Russia,Japan,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,1.068,1.056,3.229,1.686,Stalemate,0.54
SCN_0030,China,Turkey,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,0.99,0.941,7.589,12.108,Attacker_Wins,0.86
SCN_0031,Israel,Russia,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,0.977,1.0,0.206,0.273,Stalemate,0.6
SCN_0032,Russia,Pakistan,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,1.406,1.212,2.758,8.269,Attacker_Wins,0.79
SCN_0033,France,Japan,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,0.954,0.973,0.7,1.157,Stalemate,0.6
SCN_0034,Iran,Turkey,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,0.809,0.882,1.628,0.535,Stalemate,0.55
SCN_0035,Pakistan,Australia,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,0.793,0.905,4.009,0.325,Attacker_Wins,0.66
SCN_0036,United Kingdom,France,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,0.994,1.0,0.598,1.153,Stalemate,0.58
SCN_0037,North Korea,Japan,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,0.731,0.8,1.551,0.078,Stalemate,0.6
SCN_0038,North Korea,France,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,0.766,0.822,2.217,0.068,Stalemate,0.54
SCN_0039,USA,Australia,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,1.058,1.005,19.67,27.688,Attacker_Wins,0.83
SCN_0040,Australia,Iran,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.375,1.155,0.315,3.232,Stalemate,0.54
SCN_0041,Japan,Iran,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.436,1.2,1.077,5.152,Attacker_Wins,0.65
SCN_0042,France,United Kingdom,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.007,1.0,1.671,0.868,Stalemate,0.56
SCN_0043,Russia,United Kingdom,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.127,1.084,7.711,1.265,Attacker_Wins,0.71
SCN_0044,Pakistan,Turkey,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,0.882,0.922,2.053,0.562,Stalemate,0.56
SCN_0045,Pakistan,Saudi Arabia,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,0.817,0.922,1.816,0.139,Stalemate,0.6
SCN_0046,North Korea,Israel,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,0.701,0.758,2.336,0.17,Stalemate,0.53
SCN_0047,Israel,Saudi Arabia,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,1.123,1.118,1.03,0.313,Stalemate,0.53
SCN_0048,Australia,France,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,1.004,0.989,0.417,0.542,Stalemate,0.56
SCN_0049,USA,Pakistan,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,1.334,1.11,4.906,85.192,Attacker_Wins,0.87
SCN_0050,United Kingdom,USA,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,0.935,1.007,0.073,0.077,Stalemate,0.56
SCN_0051,Saudi Arabia,North Korea,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,1.271,1.181,0.416,18.75,Attacker_Wins,0.95
SCN_0052,France,Iran,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.37,1.168,0.754,5.96,Stalemate,0.59
SCN_0053,North Korea,United Kingdom,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.771,0.822,3.704,0.059,Stalemate,0.58
SCN_0054,Saudi Arabia,Japan,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,0.929,0.944,0.645,1.471,Attacker_Wins,0.63
SCN_0055,China,Russia,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,0.798,0.842,1.34,2.605,Stalemate,0.53
SCN_0056,Japan,Saudi Arabia,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,1.076,1.059,1.551,0.68,Attacker_Wins,0.65
SCN_0057,Russia,Saudi Arabia,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,1.149,1.118,5.009,1.147,Attacker_Wins,0.7
SCN_0058,Saudi Arabia,North Korea,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,1.271,1.181,0.416,18.75,Attacker_Wins,0.76
SCN_0059,United Kingdom,Russia,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,0.887,0.922,0.13,0.791,Stalemate,0.52
SCN_0060,Israel,Iran,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.498,1.267,0.715,2.374,Stalemate,0.6
SCN_0061,Israel,Iran,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.498,1.267,0.715,2.374,Stalemate,0.6
SCN_0062,Israel,Iran,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.498,1.267,0.715,2.374,Stalemate,0.48
SCN_0063,France,USA,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,0.941,1.007,0.122,0.067,Stalemate,0.57
SCN_0064,Russia,United Kingdom,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.127,1.084,7.711,1.265,Attacker_Wins,0.73
SCN_0065,Iran,Pakistan,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,0.917,0.957,0.793,0.952,Stalemate,0.48
SCN_0066,Russia,Israel,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,1.024,1.0,4.863,3.66,Attacker_Wins,0.65
SCN_0067,Turkey,India,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,1.066,1.042,0.329,0.227,Attacker_Wins,0.62
SCN_0068,Australia,United Kingdom,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.01,0.989,0.697,0.471,Attacker_Wins,0.64
SCN_0069,USA,Iran,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.456,1.16,6.187,89.495,Attacker_Wins,0.95
SCN_0070,Saudi Arabia,Australia,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,0.97,0.982,2.208,2.344,Attacker_Wins,0.67
SCN_0071,China,Saudi Arabia,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,0.917,0.941,6.714,2.987,Attacker_Wins,0.63
SCN_0072,Turkey,North Korea,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,1.178,1.181,0.368,4.625,Attacker_Wins,0.77
SCN_0073,Japan,United Kingdom,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.055,1.027,2.388,0.75,Attacker_Wins,0.63
SCN_0074,Saudi Arabia,Israel,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,0.891,0.895,0.971,3.191,Attacker_Wins,0.64
SCN_0075,France,Iran,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.37,1.168,0.754,5.96,Attacker_Wins,0.72
SCN_0076,Iran,United Kingdom,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.735,0.856,2.217,0.146,Stalemate,0.59
SCN_0077,China,Australia,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,0.89,0.924,14.821,7.0,Attacker_Wins,0.95
SCN_0078,Russia,China,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,1.253,1.188,0.746,0.384,Stalemate,0.56
SCN_0079,North Korea,France,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,0.766,0.822,2.217,0.068,Stalemate,0.49
SCN_0080,Russia,India,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,1.322,1.164,1.86,1.057,Attacker_Wins,0.66
SCN_0081,Australia,Iran,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.375,1.155,0.315,3.232,Stalemate,0.6
SCN_0082,Australia,Saudi Arabia,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,1.031,1.019,0.453,0.427,Attacker_Wins,0.67
SCN_0083,Pakistan,Russia,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,0.711,0.825,0.363,0.121,Defender_Wins,0.38
SCN_0084,USA,Iran,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.456,1.16,6.187,89.495,Attacker_Wins,0.88
SCN_0085,USA,France,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,1.062,0.993,8.209,15.017,Attacker_Wins,0.92
SCN_0086,North Korea,China,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,0.858,0.9,0.358,0.018,Stalemate,0.44
SCN_0087,Pakistan,United Kingdom,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.801,0.895,2.796,0.153,Attacker_Wins,0.63
SCN_0088,Australia,Pakistan,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,1.261,1.105,0.249,3.077,Stalemate,0.59
SCN_0089,Pakistan,Saudi Arabia,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,0.817,0.922,1.816,0.139,Attacker_Wins,0.68
SCN_0090,India,USA,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,0.797,0.938,0.302,0.092,Stalemate,0.49
SCN_0091,Saudi Arabia,China,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,1.09,1.062,0.149,0.335,Stalemate,0.57
SCN_0092,Israel,India,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,1.291,1.164,0.383,0.289,Stalemate,0.57
SCN_0093,Turkey,France,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,0.903,0.97,0.815,0.314,Attacker_Wins,0.71
SCN_0094,Japan,North Korea,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,1.368,1.25,0.645,12.75,Attacker_Wins,0.8
SCN_0095,Turkey,Saudi Arabia,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,0.927,1.0,0.885,0.247,Stalemate,0.59
SCN_0096,France,United Kingdom,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.007,1.0,1.671,0.868,Stalemate,0.53
SCN_0097,Israel,Russia,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,0.977,1.0,0.206,0.273,Stalemate,0.54
SCN_0098,Russia,United Kingdom,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.127,1.084,7.711,1.265,Attacker_Wins,0.68
SCN_0099,Pakistan,Turkey,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,0.882,0.922,2.053,0.562,Stalemate,0.58
SCN_0100,Turkey,Australia,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,0.899,0.982,1.953,0.578,Stalemate,0.47
SCN_0101,Russia,Saudi Arabia,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,1.149,1.118,5.009,1.147,Stalemate,0.58
SCN_0102,Russia,Israel,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,1.024,1.0,4.863,3.66,Attacker_Wins,0.94
SCN_0103,China,Israel,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,0.817,0.842,6.519,9.532,Attacker_Wins,0.88
SCN_0104,India,North Korea,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,1.105,1.133,1.119,20.35,Attacker_Wins,0.87
SCN_0105,Japan,North Korea,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,1.368,1.25,0.645,12.75,Attacker_Wins,0.86
SCN_0106,North Korea,Israel,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,0.701,0.758,2.336,0.17,Stalemate,0.57
SCN_0107,Turkey,Pakistan,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,1.134,1.084,0.487,1.779,Stalemate,0.57
SCN_0108,North Korea,China,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,0.858,0.9,0.358,0.018,Stalemate,0.5
SCN_0109,Turkey,USA,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,0.85,0.977,0.099,0.021,Stalemate,0.55
SCN_0110,Israel,USA,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,1.029,1.092,0.116,0.027,Stalemate,0.55
SCN_0111,France,Japan,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,0.954,0.973,0.7,1.157,Stalemate,0.6
SCN_0112,Saudi Arabia,Israel,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,0.891,0.895,0.971,3.191,Attacker_Wins,0.84
SCN_0113,North Korea,Russia,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,0.684,0.758,0.48,0.047,Stalemate,0.57
SCN_0114,Russia,India,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,1.322,1.164,1.86,1.057,Stalemate,0.52
SCN_0115,Israel,Pakistan,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,1.374,1.212,0.567,2.26,Attacker_Wins,0.65
SCN_0116,France,China,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,6.88,4.0,75.0,2.38,6.06,4,2,1,224.0,1571,3,1.119,1.095,0.162,0.263,Attacker_Wins,0.63
SCN_0117,Japan,United Kingdom,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.055,1.027,2.388,0.75,Stalemate,0.57
SCN_0118,Japan,USA,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,0.987,1.034,0.174,0.058,Stalemate,0.55
SCN_0119,USA,United Kingdom,8.18,4.35,80.0,3.05,7.48,5,3,1,886.0,2085,1,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,1.069,0.993,13.717,13.029,Attacker_Wins,0.93
SCN_0120,Pakistan,Iran,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,1.091,1.045,1.261,1.051,Attacker_Wins,0.71
